transactionId,type,originalTransactionId,date,time,storeId,memberId,tier,lineNo,category,amountTHB
TX90038,SALE,,2026-09-01,20:46,S004,M1006,SILVER,4,HOME,219
TX90039,SALE,,2026-09-21,12:25,S009,M1005,GOLD,1,FASHION,620
TX90039,SALE,,2026-09-21,12:25,S009,M1005,GOLD,2,GROCERY,89
TX90039,SALE,,2026-09-21,12:25,S009,M1005,GOLD,3,FRESH,1290
TX90039,SALE,,2026-09-21,12:25,S009,M1005,GOLD,4,FRESH,219
TX90040,SALE,,2026-09-30,10:08,S003,M1006,SILVER,1,FRESH,59
TX90040,SALE,,2026-09-30,10:08,S003,M1006,SILVER,2,ELECTRONICS,129
RF90001,REFUND,TX90008,2026-09-27,10:20,S008,M1003,PLATINUM,1,HOME,-1290
RF90001,REFUND,TX90008,2026-09-27,10:20,S008,M1003,PLATINUM,2,FASHION,-890
RF90001,REFUND,TX90008,2026-09-27,10:20,S008,M1003,PLATINUM,3,FRESH,-355
RF90002,REFUND,TX90006,2026-09-19,15:05,S006,M1002,SILVER,1,HOME,-749
RF90003,REFUND,TX90007,2026-09-11,17:40,S007,M1004,SILVER,1,FRESH,-137
