transactionId,lineNo,category,amountTHB,tier,date,winningCampaign,multiplier,milliPoints
TX90019,1,FASHION,890,GOLD,2026-09-29,BASE,1,35600
TX90019,2,ELECTRONICS,780,GOLD,2026-09-29,BASE,1,31200
TX90020,1,HEALTH,499,SILVER,2026-09-18,BASE,1,19960
TX90021,1,GROCERY,95,GOLD,2026-09-17,BASE,1,3800
TX90022,1,FRESH,219,GOLD,2026-09-05,C1,3,26280
TX90023,1,HEALTH,499,GOLD,2026-09-08,C2,2,39920
TX90023,2,HEALTH,299,GOLD,2026-09-08,C2,2,23920
TX90023,3,HOME,129,GOLD,2026-09-08,C2,2,10320
TX90024,1,HEALTH,349,SILVER,2026-09-16,BASE,1,13960
TX90025,1,HOME,559,SILVER,2026-09-02,BASE,1,22360
TX90026,1,GROCERY,95,SILVER,2026-09-07,BASE,1,3800
TX90027,1,HEALTH,890,PLATINUM,2026-09-12,C3,2.5,89000
TX90028,1,HOME,449,GOLD,2026-09-13,C2,2,35920
TX90029,1,GROCERY,780,SILVER,2026-09-02,BASE,1,31200
TX90029,2,HOME,189,SILVER,2026-09-02,BASE,1,7560
TX90029,3,FASHION,129,SILVER,2026-09-02,BASE,1,5160
TX90029,4,HOME,89,SILVER,2026-09-02,BASE,1,3560
TX90030,1,HOME,620,GOLD,2026-09-25,C4,5,124000
TX90030,2,FRESH,1120,GOLD,2026-09-25,C4,5,224000
TX90030,3,HOME,259,GOLD,2026-09-25,C4,5,51800
TX90031,1,FRESH,449,SILVER,2026-09-30,BASE,1,17960
TX90031,2,GROCERY,129,SILVER,2026-09-30,BASE,1,5160
TX90032,1,FASHION,449,SILVER,2026-09-18,BASE,1,17960
TX90032,2,HOME,1120,SILVER,2026-09-18,C5,2,89600
TX90033,1,HOME,219,SILVER,2026-09-04,BASE,1,8760
TX90034,1,FASHION,699,SILVER,2026-09-29,BASE,1,27960
TX90034,2,GROCERY,990,SILVER,2026-09-29,BASE,1,39600
TX90034,3,GROCERY,499,SILVER,2026-09-29,BASE,1,19960
TX90035,1,FRESH,95,SILVER,2026-09-12,C1,3,11400
TX90035,2,HOME,780,SILVER,2026-09-12,C5,2,62400
TX90035,3,HOME,1120,SILVER,2026-09-12,C5,2,89600
TX90035,4,HEALTH,890,SILVER,2026-09-12,BASE,1,35600
TX90036,1,GROCERY,59,PLATINUM,2026-09-07,C3,2.5,5900
TX90036,2,HEALTH,449,PLATINUM,2026-09-07,C3,2.5,44900
TX90037,1,GROCERY,59,GOLD,2026-09-15,C2,2,4720
TX90037,2,FASHION,349,GOLD,2026-09-15,C2,2,27920
TX90038,1,ELECTRONICS,449,SILVER,2026-09-01,BASE,1,17960
TX90038,2,FASHION,219,SILVER,2026-09-01,BASE,1,8760
TX90038,3,GROCERY,299,SILVER,2026-09-01,BASE,1,11960
TX90038,4,HOME,219,SILVER,2026-09-01,BASE,1,8760
TX90039,1,FASHION,620,GOLD,2026-09-21,BASE,1,24800
TX90039,2,GROCERY,89,GOLD,2026-09-21,BASE,1,3560
TX90039,3,FRESH,1290,GOLD,2026-09-21,BASE,1,51600
TX90039,4,FRESH,219,GOLD,2026-09-21,BASE,1,8760
TX90040,1,FRESH,59,SILVER,2026-09-30,BASE,1,2360
TX90040,2,ELECTRONICS,129,SILVER,2026-09-30,BASE,1,5160
